Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
471,wwe Smackdown vs. Raw 2006,PS2,2005,Fighting,THQ,1.57,1.02,0.0,0.41,3.0
1305,Triple Play 99,PS,1998,Sports,EA Sports,0.81,0.55,0.0,0.1,1.46
4147,Sonic the Hedgehog,PS3,2006,Platform,Sega,0.0,0.48,0.0,0.0,0.48
5304,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,2007,Action,Bandai Namco,0.15,0.05,0.14,0.01,0.35
6274,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,2004,Action,Nintendo,0.0,0.0,0.27,0.01,0.27
7353,Yu Yu Hakusho: Dark Tournament,PS2,2004,Fighting,Atari,0.1,0.08,0.0,0.03,0.21
9751,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,2010,Strategy,Bandai Namco,0.0,0.0,0.12,0.0,0.12
10496,Atsumare! Power Pro Kun no DS Koushien,DS,2007,Sports,Konami,0.0,0.0,0.1,0.0,0.1
11078,Action Man-Operation Extreme,PS,2000,Action,Hasbro Interactive,0.05,0.03,0.0,0.01,0.09
12489,Chou Soujuu Mecha MG,DS,2007,Simulation,Nintendo,0.0,0.0,0.06,0.0,0.06
12519,Prinny: Can I Really Be The Hero? (US sales),PSP,2008,Action,Nippon Ichi Software,0.06,0.0,0.0,0.0,0.06
13280,Monster Hunter Frontier Online,PS3,2007,Role-Playing,Capcom,0.0,0.0,0.05,0.0,0.05
13674,B.L.U.E.: Legend of Water,PS,1998,Adventure,MediaQuest,0.0,0.0,0.04,0.0,0.04
13964,World of Tanks,X360,2013,Shooter,Wargaming,0.0,0.03,0.0,0.0,0.04
14089,Housekeeping,DS,2006,Action,Nintendo,0.0,0.0,0.04,0.0,0.04
14299,Bikkuriman Daijiten,DS,2007,Misc,Bandai,0.0,0.0,0.03,0.0,0.03
14945,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,2011,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
15264,Mario Tennis,3DS,2012,Sports,Nintendo,0.0,0.0,0.02,0.0,0.02
15918,Dream Dancer,DS,2008,Misc,505 Games,0.01,0.0,0.0,0.0,0.02
16194,Homeworld Remastered Collection,PC,2015,Strategy,Gearbox Software,0.0,0.01,0.0,0.0,0.01
16201,AKB1/48: Idol to Guam de Koishitara...,X360,2011,Misc,Kadokawa Games,0.0,0.0,0.01,0.0,0.01
16232,Brothers in Arms: Furious 4,X360,2012,Shooter,Ubisoft,0.01,0.0,0.0,0.0,0.01